,event_id,ticket_cost,ticket_availability,ticket_quant_total,ticket_quant_sold
90,2523610,1294.7,1.0,1.0,0.5
91,2556282,37.5,1.0,6.0,0.5
92,2556416,250.0,1.0,1.0,1.0
93,2556850,1.7879999999999998,1.0,800.0,26.0
94,2589262,3.76,1.0,50.0,2.0
95,2589534,20.0,1.0,56.666666666666664,25.666666666666668
96,2589614,17.0,1.0,132.5,3.0
97,2621588,655.0,1.0,51.5,49.5
98,2687671,0.0,1.0,100000.0,15.0
99,2687765,17.5,1.0,180.0,5.0
100,2719841,45.31,1.0,25.0,17.0
101,2720077,8.285714285714286,1.0,2199.4285714285716,5.714285714285714
102,2720111,13.18,1.0,60.0,57.0
103,2720347,22.5,1.0,15.0,0.3125
104,2720475,15.0,1.0,30.0,3.0
105,2720691,23.333333333333332,1.0,23.5,19.666666666666668
106,2753111,15.0,1.0,50.0,25.0
107,2753403,140.76,1.0,10.0,1.0
108,2785301,15.0,1.0,50.0,17.0
109,2785633,23.0,1.0,46.0,4.4
110,2785789,49.99,1.0,9.0,9.0
111,2785937,183.28,1.0,300.0,1.0
112,2818155,3.73,1.0,100.0,10.0
113,2850861,15.875,1.0,9.0,3.0
114,2851275,52.87,1.0,3.0,3.0
115,2851737,16.5,1.0,42.0,1.5
116,2884023,37.5,1.0,75.0,70.5
117,2916513,4.05,1.0,70.0,29.0
118,2916769,52.28333333333333,1.0,17.0,16.333333333333332
119,2916845,90.53,1.0,100.0,15.0
120,2981983,3.4299999999999997,1.0,100.0,92.33333333333333
121,2992917,20.0,1.0,50.0,9.0
122,3015171,169.0,1.0,15.0,7.0
123,3015583,13.45,1.0,50.0,28.0
124,3047729,6.5,1.0,400.0,268.0
125,3047895,22.63,1.0,75.0,24.5
126,3048075,6.88,1.0,66.66666666666667,5.333333333333333
127,3048129,8.286428571428571,1.0,387.57142857142856,13.0
128,3048157,300.0,1.0,60.0,4.5
129,3048217,8.46,1.0,50.0,3.0
130,3090085,140.76,1.0,1000.0,1.0
131,3104463,683.3333333333334,1.0,100.0,1.0
132,3112971,234.31,1.0,9.0,4.25
133,3129449,24.86,1.0,13.5,2.5
134,3145815,65.66833333333334,1.0,483.3333333333333,2.8333333333333335
135,3145837,4.562857142857143,1.0,250.0,39.142857142857146
136,3145841,0.0,1.0,50.0,1.0
137,3146313,5.0,1.0,8.0,3.5
138,3146607,2.515,1.0,21.5,17.5
139,3179183,47.5,1.0,58.5,40.5
140,3244275,140.76,1.0,1000.0,3.0
141,3249649,92.9,1.0,150.0,92.0
142,3277515,12.5,1.0,11.5,11.5
143,3282379,179.93666666666664,1.0,104.0,2.3333333333333335
144,3310151,175.71428571428572,1.0,10.714285714285714,0.2857142857142857
145,3310391,162.515,1.0,13.0,7.5
146,3342981,20.0,1.0,40.0,8.0
147,3375205,21.88,1.0,20.0,0.6666666666666666
148,3375465,39.5,1.0,73.75,16.5
149,3423729,91.875,1.0,100.0,0.0
150,3424313,50.0,1.0,200.0,22.0
151,3440783,80.676,1.0,50.0,5.4
152,3440823,80.0,1.0,8.0,29.0
153,3441029,7.5,1.0,23.0,23.0
154,3441103,128.0375,1.0,6.5,2.0
155,3441319,7.26,1.0,16.5,8.5
156,3473431,55.0,1.0,8.0,8.0
157,3473481,44.0,1.0,60.0,23.0
158,3473577,37.5,1.0,200.0,2.5
159,3474125,15.0,1.0,100.0,3.0
160,3474133,15.0,1.0,100.0,5.5
161,3493645,8.46,1.0,100.0,1.0
162,3507117,0.0,1.0,1.5,0.0
163,3522653,228.28666666666663,1.0,133.33333333333334,33.333333333333336
164,3539211,2.5,1.0,50.0,3.5
165,3588187,720.0374999999999,1.0,325.0,5.25
166,3599149,14.0,1.0,250.0,57.6
167,3605391,70.0,1.0,25.0,11.0
168,3637462,25.0,1.0,30.0,5.0
169,3637544,6.555,1.0,30.0,16.5
170,3637988,15.545,1.0,50.0,7.0
171,3638124,6.666666666666667,1.0,2333.3333333333335,4.0
172,3638196,10.0,1.0,50.0,16.0
173,3670508,52.5,1.0,20.0,1.0
174,3670550,1572.91625,1.0,91.25,54.125
175,3702816,753.4000000000001,1.0,97.5,1.25
176,3703656,55.638235294117656,1.0,133.0,0.11764705882352941
177,3717486,100.0,1.0,100.0,0.0
178,3735628,48.99,1.0,30.0,30.0
179,3736088,17.666666666666668,1.0,81.0,60.0
180,3768768,72.12777777777778,1.0,32.77777777777778,5.666666666666667
181,3798244,185.5,1.0,10.0,0.0
182,3801238,5.06,1.0,1000.0,4.0
183,3801364,233.33333333333334,1.0,21.666666666666668,1.3333333333333333
184,3801374,8.41,1.0,300.0,33.0
185,3801472,7.5,1.0,35.0,39.0
186,3806678,45.0,1.0,20.0,13.0
187,3833884,45.0,1.0,500000.0,0.0
188,3834104,12.5,1.0,55.0,10.5
189,3867036,32.0,1.0,16.666666666666668,2.3333333333333335
190,3883118,200.0,1.0,33.333333333333336,27.333333333333332
191,3899984,34.445,1.0,650.0,222.0
192,3900196,408.75,1.0,8.75,2.25
193,3910444,126.66666666666667,1.0,266.6666666666667,12.333333333333334
194,3932568,22.51,1.0,60.0,13.0
195,3965018,15.0,1.0,200.0,50.0
196,3965092,350.0,1.0,14.0,10.0
197,3965432,100.0,1.0,10.0,7.0
198,3965640,38.333333333333336,1.0,213.33333333333334,10.333333333333334
199,3997696,75.0,1.0,350.0,240.0
200,3997742,114.40000000000002,1.0,7.666666666666667,4.0
201,3998172,21.675,1.0,7.5,7.5
202,3998400,100.0,1.0,22.0,0.0
203,4031098,13.11,1.0,55.0,13.0
204,4031106,15.0,1.0,12.0,12.0
205,4031124,121.86,1.0,220.0,26.5
206,4031234,300.0,1.0,20.0,6.0
207,4063948,30.0,1.0,60.0,19.0
208,4064066,1190.425,1.0,24.0,1.4166666666666667
209,4096516,3.73,1.0,100.0,4.0
210,4113578,5.0,1.0,50.0,10.0
211,4128904,5.0,1.0,150.0,9.0
212,4159448,40.0,1.0,2.0,0.0
213,4194408,17.91,1.0,350.0,256.0
214,4194996,46.755,1.0,15.0,13.5
215,4227088,130.0,1.0,2.0,2.0
216,4227516,0.0,1.0,350.0,112.0
217,4227994,40.0,1.0,28.0,22.0
218,4259940,150.0,1.0,15.0,6.5
219,4260346,7.5,1.0,1000.0,0.0
220,4260408,100.0,1.0,100.0,4.0
221,4292658,65.00166666666667,1.3333333333333333,51.666666666666664,0.16666666666666666
222,4292660,22.85,1.0,20.0,4.5
223,4292670,176.87499999999997,1.0,21.25,11.75
224,4292688,35.0,1.0,35.0,35.0
225,4292908,8.46,1.0,100.0,2.0
226,4325494,16.725,1.0,43.75,24.75
227,4325524,3.14,1.0,41.666666666666664,23.0
228,4358498,25.0,1.0,40.0,5.0
229,4359070,3.0,1.0,35.0,1.0
230,4390954,32.085,1.0,100.0,25.5
231,4391370,25.0,1.0,175.0,6.0
232,4391524,54.166666666666664,1.0,45.0,4.333333333333333
233,4391654,13.185,1.0,35.0,11.5
234,4422364,70.26,1.0,50.0,14.0
235,4423882,55.71,1.0,46.0,46.0
236,4424320,85.185,1.0,4.5,1.25
237,4428918,15.799999999999999,1.0,70.33333333333333,3.6666666666666665
238,4445872,34.445,1.0,200.0,8.0
239,4457214,2.5,1.0,50.0,11.0
240,4489314,8.333333333333334,1.0,325.0,136.83333333333334
241,4489446,27.36,1.0,83.33333333333333,32.0
242,4489514,34.445,1.0,100.0,4.0
243,4489666,12.5,1.0,77.5,53.5
244,4522092,92.41,1.0,70.0,0.5
245,4522666,35.0,1.0,20.0,8.0
246,4554838,10.35,1.0,24.0,5.0
247,4565802,50.0,1.0,8.0,3.0
248,4571224,150.0,1.0,100.0,0.0
249,4588328,10.0,1.0,200.0,21.5
250,4598566,50.0,1.0,200.0,0.0
251,4620496,242.345,1.0,75.0,14.5
252,4620752,5.0,1.0,50.0,5.0
253,4653063,40.0,1.0,35.0,22.0
254,4653343,11.0,1.0,30.0,5.625
255,4653425,13.333333333333334,1.0,53.333333333333336,4.333333333333333
256,4664005,234.01,1.0,12.0,12.0
257,4685879,18.90909090909091,2.0,3109.090909090909,146.45454545454547
258,4685883,9.611666666666666,1.0,36.833333333333336,27.0
259,4686063,23.13,1.0,100.0,0.0
260,4686211,22.51,1.0,100.0,69.0
261,4686369,1685.9333333333334,1.0,13.333333333333334,10.0
262,4713253,2.505,1.0,99.5,0.5
263,4782445,310.0,1.0,150.0,0.0
264,4784193,8.75,1.0,25.0,16.0
265,4816963,15.545,1.0,175.0,56.0
266,4831555,27.5,1.0,73.0,73.0
267,4833345,97.0,1.0,25.0,9.0
268,4850067,10.39,1.0,150.0,86.0
269,4879677,50.0,1.0,85.0,25.0
270,4883155,25.0,1.0,12.0,9.5
271,4905731,55.0,1.0,30.0,1.0
272,4915481,163.51,1.0,400.0,1.0
273,4915489,95.0,1.0,100.0,11.0
274,4926261,15.0,1.0,69.6,10.8
275,4948410,90.0,1.0,90.0,0.0
276,4948714,5.05,1.0,15.0,1.3333333333333333
277,4948778,125.0,1.0,15.0,2.5
278,4955936,30.0,1.0,1000.0,136.0
279,4981268,17.81,1.0,35.0,27.5
280,4981324,36.81,1.0,40.0,27.0
281,4981422,116.66666666666667,1.0,16.666666666666668,2.3333333333333335
282,4981556,32.0375,1.0,356.25,7.625
283,4982290,8.08,1.0,70.5,16.25
284,5013550,20.0,1.0,190.0,157.0
285,5013634,0.0,1.0,25.0,22.0
286,5014170,8.75,1.0,100.0,2.0
287,5014204,6.01,1.0,25.0,5.0
288,5014326,25.0,1.0,100.0,2.0
289,0,,,,
290,5047004,5.0,1.0,125.0,63.5
291,5047008,20.0,1.0,300.0,26.0
292,5062712,18.25,1.0,1000.0,6.5
293,5079274,26.666666666666668,1.0,106.83333333333333,32.166666666666664
294,5079990,51.465,1.0,75.0,17.0
295,5145440,212.19,1.0,105.0,4.0
296,5177448,140.0,1.0,15.0,0.0
297,5177690,75.0,1.0,12.0,12.0
298,5177762,7.5,1.0,100.0,1.5
299,5177902,125.75,1.0,52.5,1.5
300,5188410,1295.0,1.0,40.0,19.0
301,5210482,37.5,1.0,75.0,54.0
302,5215628,332.8,1.0,1.0,1.0
303,5243246,87.814,1.0,240.0,108.4
304,5243284,26.52,1.0,100.0,8.0
305,5243382,54.285714285714285,1.0,71.42857142857143,15.714285714285714
306,5269072,11.0,1.0,60.0,15.5
307,5275710,10.0,1.0,1000.0,0.0
308,5276326,8.51,1.0,66.66666666666667,48.666666666666664
309,5286582,95.0,1.0,150.0,15.875
310,5297616,12.910000000000002,1.0,28.333333333333332,4.666666666666667
311,5308976,8.46,1.0,20.0,29.0
312,5309184,1563.2,1.0,7.125,5.875
313,5341940,37.15,1.0,25.0,16.0
314,5374176,10.0,1.0,2500.0,297.0
315,5374424,18.02,1.0,1.0,16.0
316,5374490,55.0,1.0,20.0,9.0
317,5383644,65.0,1.0,100.0,0.0
318,5396756,80.0,1.0,100.0,4.0
319,5406814,20.0,1.0,200.0,5.0
320,5406892,20.0,1.0,200.0,4.0
321,5406904,290.48249999999996,1.0,15.0,0.5
322,5406982,6.833333333333333,1.0,183.33333333333334,141.0
323,5407050,52.5,1.0,30.0,0.0
324,5407430,115.56,1.0,26.666666666666668,11.333333333333334
325,5423232,69.0,1.0,200.0,26.25
326,5434074,26.765,1.0,30.0,5.5
327,5439674,40.0,1.0,30.0,6.0
328,5440318,0.0,1.0,60.0,5.8
329,5505044,45.0,1.0,1633.3333333333333,4.666666666666667
330,5505502,0.0,1.0,500.0,0.0
331,5505840,17.91,1.0,20.0,4.0
332,5537968,12.0,1.0,40.0,40.0
333,5538084,10.0,1.0,40.0,6.0
334,5538114,10.0,1.0,40.0,36.0
335,5538364,20.0,1.0,20.0,6.0
336,5570618,36.81,1.0,120.0,16.0
337,5570996,29.285714285714285,1.0,175.0,73.57142857142857
338,5571112,22.5,1.0,205.0,122.83333333333333
339,5571294,16.79666666666667,1.0,46.666666666666664,17.0
340,5571446,5.0,1.0,400.0,25.0
341,5614288,259.7657142857143,1.0,82.85714285714286,0.42857142857142855
342,5636660,74.61,1.0,100.0,36.5
343,5636980,36.61,1.0,80.0,66.0
344,5654252,659.35,1.0,20.0,2.0
345,5669346,117.005,1.0,50.0,51.0
346,5669720,13.18,1.0,25.0,3.0
347,5702034,1833.3333333333333,1.0,90.0,2.0
348,5702302,42.45,1.0,4.0,1.0
349,5702468,19.025,1.0,116.66666666666667,24.833333333333332
350,5728998,35.0,1.0,100.0,21.5
351,5734470,37.5,1.0,35.0,35.0
352,5735050,38.224999999999994,1.0,35.0,8.5
353,5739940,23.105,1.0,100.0,1.0
354,5750885,208.27703703703705,1.1851851851851851,2100.0,6.37037037037037
355,5767567,75.0,1.0,60.0,31.0
356,5767907,10.0,1.0,150.0,128.0
357,5767947,10.0,1.0,200.0,2.0
358,5772731,120.535,1.0,50.0,9.0
359,5788459,99.0,1.0,10.2,3.2
360,5800601,20.0,1.0,60.0,57.0
361,5832923,13.18,1.0,25.0,1.0
362,5866317,10.0,1.0,30.0,26.0
363,5866337,25.355,1.0,55.0,13.0
364,5898495,0.0,1.0,5000.0,0.0
365,5898675,100.0,1.0,100.0,1.6666666666666667
366,5898761,75.0,1.0,50.0,3.0
367,5898765,0.0,1.0,40.0,0.0
368,5931025,5.0,1.0,125.0,1.0
369,5931053,52.69500000000001,1.0,75.0,20.25
370,5931439,27.5,1.0,15.0,7.0
371,5931521,6.4,1.0,25.0,13.0
372,5942303,5.0,1.0,100.0,1.0
373,5963055,3.73,1.0,49.0,49.0
374,5963993,15.469999999999999,1.0,25.0,6.2
375,5996579,17.810000000000002,1.0,50.0,11.0
376,5996581,24.52,1.0,16.0,2.0
377,6062559,1.5,1.0,42.5,26.5
378,6062717,91.66666666666667,1.0,35.0,14.166666666666666
379,6078609,20.0,1.0,10.0,10.0
380,6127825,9.95,1.0,35.0,12.0
381,6127937,0.0,1.0,100.0,1.0
382,6160693,55.0,1.0,175.0,14.0
383,6161033,10.0,1.0,50.0,4.0
384,6189999,38.96,1.0,20.0,5.0
385,6193483,25.0,1.0,750.0,58.0
386,6219451,76.66666666666667,1.0,500.0,0.0
387,6225295,8.8,1.0,140.0,67.0
388,6226489,34.445,1.0,200.0,2.5
389,6234025,15.0,1.0,24.0,24.0
390,6264705,8.41,1.0,200.0,23.0
391,6291577,5.0,1.0,50.0,10.0
392,6291925,62.5,1.0,160.0,160.0
393,6292261,27.5,1.0,300.0,300.0
394,6351559,50.0,1.0,150.0,133.0
395,6357331,69.0,1.0,10.0,3.0
396,6390009,243.24324324324326,1.0,2.945945945945946,0.5405405405405406
397,6391865,7.881111111111112,1.5555555555555556,40.0,0.6666666666666666
398,6422977,63.27,1.0,25.0,7.0
399,6461677,32.0,1.0,2.0,1.0
400,6488465,25.0,1.0,12.0,11.0
401,6521083,22.76,1.0,100.0,7.0
402,6553945,13.513333333333334,1.0,44.0,13.333333333333334
403,6570089,18.0,1.0,100.0,3.0
404,6586439,20.0,1.0,20.0,3.5
405,6603043,3.73,1.0,500.0,54.0
406,6624739,140.01,1.0,900.0,2.0
407,6641027,13.260000000000002,1.0,500.0,8.5
408,6684735,116.51,1.0,275.0,29.0
409,6685019,78.38499999999999,1.0,10.0,0.5
410,6685047,13.5,1.5,47.5,47.5
411,6685099,20.0,1.0,38.333333333333336,2.3333333333333335
412,6685373,50.6,1.0,80.0,3.6
413,6696661,27.5,1.0,100.0,10.5
414,6713467,5.0,1.0,10.0,2.0
415,6717817,35.0,1.0,6.666666666666667,1.3333333333333333
416,6717891,22.5,1.0,160.0,34.5
417,6750689,333.8528571428572,1.0,78.92857142857143,14.571428571428571
418,6755795,20.0,1.0,50.0,18.0
419,6765027,51.8,1.0,200.0,2.0
420,6783869,79.33,1.0,20.0,2.0
421,6789019,50.98,1.0,65.0,26.0
422,6846797,35.86,1.0,775.0,74.25
423,6848649,33.123636363636365,1.0,29.454545454545453,8.909090909090908
424,6849303,9.165,1.0,9.0,4.5
425,6859505,20.0,1.0,110.0,52.0
426,6867877,15.0,1.0,15.0,7.0
427,6890031,8.65,1.6,40.0,1.8
428,6908619,105.0,1.0,87.5,16.0
429,6914463,17.91,1.0,60.0,8.0
430,6935963,144.71,1.0,18.0,18.0
431,6946957,15.0,1.0,2.0,1.0
432,6947117,5.0,1.0,200.0,37.5
433,6948331,4.05,1.0,100.0,35.0
434,6988643,13.5,1.0,8.0,1.5
435,7013181,27.5,1.0,37.5,15.5
436,7017881,4.333333333333333,2.0,2333.3333333333335,9.0
437,7033817,70.0,1.0,1.0,1.0
438,7102775,10.0,1.0,120.0,15.0
439,7105263,20.0,1.0,10.0,4.0
440,7115263,53.333333333333336,1.0,21.666666666666668,0.0
441,7127147,15.0,1.0,90.0,3.0
442,7176753,17.5,1.0,100.0,25.0
443,7183085,30.0,1.0,25.0,1.0
444,7209415,7.333333333333333,2.0,61.666666666666664,4.0
445,7212401,41.53,1.0,150.0,1.0
446,7242149,12.0,1.0,50.0,2.0
447,7242301,7.333333333333333,2.0,24.0,3.0
448,7261497,20.0,1.0,100.0,0.0
449,7275167,45.0,1.0,100000.0,2.0
450,7279755,24.354,1.0,82.0,14.0
451,7307379,297.0,1.0,100.0,0.0
452,7307405,350.0,1.0,8.0,0.0
453,7308127,43.894999999999996,1.0,100.0,16.0
454,7313145,17.5,1.0,25.5,5.0
455,7323007,92.56,1.0,118.0,118.0
456,7340535,140.84166666666667,1.0,6.666666666666667,0.5
457,0,,,,
458,7383681,42.5,1.0,4.75,1.75
459,7383727,13.45,1.0,45.0,27.5
460,7405895,35.0,1.0,50.0,13.0
461,7406107,8.25,1.0,25.0,7.0
462,7412657,211.63,1.0,4.0,1.0
463,7438375,92.5,1.0,92.5,0.0
464,7471745,14.99,1.0,100.0,6.0
465,7482989,23.0,1.0,70.0,61.0
466,7504039,345.0,1.0,17.5,24.5
467,7509411,77.75666666666667,1.0,183.33333333333334,135.66666666666666
468,7536683,71.104,1.4,175.0,68.2
469,7545557,15.0,1.0,300.0,2.0
470,7569597,750.0,1.0,21.666666666666668,5.333333333333333
471,7569643,50.04,1.0,200.0,2.0
472,7602179,28.3,1.0,50.0,22.0
473,7602851,112.41,1.0,25.0,2.0
474,7603031,8.46,1.0,5.0,1.0
475,7603601,50.0,1.0,50.0,1.6666666666666667
476,7618663,31.646666666666665,1.0,40.0,8.0
477,7629541,5.0,1.0,150.0,10.0
478,7635077,15.089999999999998,1.0,166.66666666666666,37.666666666666664
479,7635783,489.0,1.0,10.0,6.0
480,7668539,8.46,1.0,100.0,2.0
481,7733333,5.0,1.0,200.0,1.0
482,7733489,22.75,1.0,20.0,1.0
483,7798325,5.93,1.0,100.0,7.0
484,7799031,37.5,1.0,100.0,0.5
485,7819069,16.333333333333332,1.0,11.0,0.3333333333333333
486,7831599,45.0,1.0,45.0,23.0
487,7897599,5.0,1.0,5.0,0.0
488,7951733,20.0,1.0,30.0,9.0
489,7962885,10.5,1.0,300.0,29.0
490,7995829,28.0,1.0,50.0,5.0
491,7995849,100.0,1.0,200.0,15.0
492,8043835,126.25,1.0,50.0,1.0
493,8127323,115.24,1.0,12.0,12.0
494,8159617,10.0,1.0,1000.0,0.0
495,8211865,5.0,1.0,12.0,1.0
496,8356377,1.6325,1.0,30.0,14.25
497,8454627,50.985,1.0,10.0,6.5
498,8490421,86.33,1.0,1350.0,110.0
499,8733435,60.0,1.0,30.0,0.0
500,104011,5.0,1.0,80.0,19.0
501,104013,5.0,1.0,80.0,4.0
502,525854,39.0,1.0,200.0,2.0
503,656612,10.0,1.0,100.0,0.0
504,853091,6.59,1.0,87.5,21.5
505,918673,22.5,1.0,30.0,2.0
506,1050179,6.243333333333333,1.0,1350.0,9.333333333333334
507,1082675,6.1000000000000005,1.0,25.0,1.5
508,1083097,30.470588235294116,1.0,230.58823529411765,30.529411764705884
509,1147917,10.0,1.0,500.0,177.0
510,1148311,25.0,1.0,50.0,10.0
511,1180607,20.0,1.0,350.0,35.5
512,1181129,20.0,1.0,20.0,2.0
513,1181197,7.846666666666667,1.0,30.0,4.666666666666667
514,1213421,56.25,1.0,87.5,0.75
515,1213725,8.41,1.0,100.0,23.0
516,1213949,10.0,1.0,150.0,150.0
517,1214047,37.5,1.0,225.0,3.5
518,1214107,7.285714285714286,1.0,4733.571428571428,32.0
519,1246661,550.533,1.0,5008.5,13.0
520,1279249,3.745,1.0,100.0,13.0
521,1279615,36.81,1.0,120.0,14.0
522,1311977,450.0,1.0,69.0,10.333333333333334
523,1311979,24.055,1.0,50.0,14.0
524,1312213,249.43666666666664,1.0,11.333333333333334,6.333333333333333
525,1344569,13.19,1.0,500.0,29.0
526,1344605,2604.2,1.0,500.0,23.0
527,1377219,107.8,1.0,19.72,4.28
528,1378021,41.535,1.0,150.0,49.5
529,1410303,11.38,1.0,50.0,11.0
530,1410679,15.089999999999998,1.0,100.0,8.666666666666666
531,1410731,29.884999999999998,1.0,950.0,141.5
532,1442767,46.0,1.0,305.0,135.0
533,1443221,40.595,1.0,500.0,37.0
534,1508573,17.91,1.0,17.0,14.0
535,1508687,135.0,1.0,210.0,34.5
536,1509069,20.0,1.0,15.0,3.0
537,1621467,25.0,1.0,100.0,65.0
538,1640115,76.6925,1.0,132.5,12.875
539,1672371,0.01,1.0,5.0,1.0
540,1704981,305.695,1.0,15.0,4.0
541,1705149,117.16714285714286,1.0,90.71428571428571,0.2857142857142857
542,1737731,15.0,1.0,80.0,22.0
543,1737991,17.91,1.0,150.0,42.0
544,1738177,400.0,1.0,1200.0,428.0
545,1753347,0.0,1.0,10.0,0.0
546,1770753,45.0,1.0,750.0,38.666666666666664
547,1770995,18.0,1.0,45.0,23.0
548,1771045,10.0,1.0,300.0,70.0
549,1803287,79.24999999999999,1.0,13.333333333333334,1.6666666666666667
550,1836693,25.0,1.0,10.0,5.0
551,1836809,549.4399999999999,1.0,30.0,1.4
552,1868011,0.0,1.0,5000.0,1.0
553,1901873,164.38,1.0,21.0,1.0
554,1902079,40.0,1.0,91.33333333333333,56.0
555,1935123,2.0,1.0,30.0,4.0
556,1943779,78.99,1.0,15.0,5.0
557,1967421,7.543333333333333,1.0,53.333333333333336,21.333333333333332
558,1967427,22.76,1.0,90.0,19.0
559,1967571,1416.435714285714,1.0,83.71428571428571,37.57142857142857
560,1999891,303.57,1.0,110.0,38.0
561,2000055,5.0,1.0,65.0,16.5
562,2000373,20.60333333333333,1.0,333.3333333333333,20.0
563,2000591,10.116666666666667,1.0,1000.0,50.333333333333336
564,2015513,39.0,1.0,50.0,16.0
565,2032703,20.0,1.0,100.0,32.0
566,2065647,51.05,1.0,16.0,5.0
567,2066121,10.0,1.0,127.0,127.0
568,2098381,85.0,1.0,8.0,0.0
569,2098945,84.99,1.0,10.0,3.0
570,2131434,9.0,1.0,10000.0,2.0
571,2196484,20.0,1.0,10.0,8.0
572,2197252,76.66666666666667,1.0,484.0,0.3333333333333333
573,2229296,20.0,1.0,118.0,119.0
574,2229342,10.5,1.0,80.0,428.0
575,2229432,8.46,1.0,20.0,15.0
576,2229580,8.46,1.0,33.0,4.0
577,2229940,17.5,1.0,15.0,2.0
578,2262764,21.49555555555555,1.0,24.166666666666668,4.055555555555555
579,2295174,38.17666666666667,1.0,28.333333333333332,20.0
580,2295268,20.0,1.0,165.0,162.0
581,2295546,58.0,1.0,45.0,7.3
582,2328342,16.0,1.0,50.0,50.0
583,2360340,7.0,1.0,75.0,3.0
584,2360876,69.88,1.0,100.0,32.0
585,2425790,27.5,1.0,65.0,18.5
