body_length,channels,fb_published,has_logo,name_length,org_facebook,org_twitter,show_map,user_age,user_type,Label,month,day,hour,minute,dayofyear,weekofyear,week,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,time_diff_seconds,previous_payout0,has_header_0.0,has_header_1.0,has_header_nan,yahoo,is_fr,is_org,delivery_method_0.0,delivery_method_1.0,delivery_method_3.0,delivery_method_nan
6127,8,0,1,113,0.0,0.0,1,247,3,0,5,1,0,0,122,18,18,1,2,True,False,False,False,205200.0,0,1,0,0,0,0,0,0,1,0,0
4136,8,0,1,30,12.0,12.0,1,56,3,0,1,28,0,0,28,4,4,5,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,1,27,0.0,0.0,0,232,5,0,12,2,0,0,336,48,48,4,4,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
3407,0,0,1,46,0.0,0.0,1,3,3,0,4,19,22,0,110,16,16,3,2,False,False,False,False,23400.0,0,0,0,1,0,0,0,0,1,0,0
1061,6,1,1,31,23.0,15.0,1,53,3,0,1,19,22,0,19,3,3,3,1,False,False,False,False,14400.0,0,1,0,0,0,0,0,1,0,0,0
1314,6,0,1,45,0.0,0.0,1,211,3,0,2,1,4,30,32,5,5,2,1,True,False,False,False,5400.0,0,0,1,0,0,0,1,1,0,0,0
1483,6,1,1,49,11.0,12.0,1,682,4,0,12,17,5,0,351,50,50,5,4,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
1860,5,0,0,20,0.0,0.0,0,359,1,0,1,6,10,0,6,1,1,4,1,False,False,False,False,18000.0,0,0,1,0,0,0,0,0,1,0,0
2219,11,0,1,77,5.0,5.0,0,919,3,0,1,6,7,55,6,1,1,4,1,False,False,False,False,0.0,0,1,0,0,0,0,0,0,1,0,0
12479,8,0,1,46,0.0,0.0,1,1103,4,0,1,6,10,0,6,1,1,6,1,False,False,False,False,21600.0,0,1,0,0,0,0,0,1,0,0,0
14294,5,0,0,61,0.0,0.0,1,836,3,0,2,29,7,30,60,9,9,2,1,False,True,False,False,54000.0,0,0,0,1,0,0,0,0,1,0,0
545,11,1,1,41,0.0,0.0,1,0,1,0,5,5,3,0,126,18,18,5,2,False,False,False,False,198000.0,0,0,1,0,0,0,0,0,1,0,0
1232,11,1,1,63,13.0,13.0,1,779,3,0,2,8,4,0,39,6,6,2,1,False,False,False,False,7200.0,0,0,0,1,0,0,0,1,0,0,0
2098,6,0,1,28,0.0,0.0,0,186,3,0,3,21,23,0,81,12,12,2,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
8970,5,0,1,68,0.0,0.0,1,196,1,0,1,21,10,0,21,3,3,5,1,False,False,False,False,14400.0,0,0,1,0,0,0,0,1,0,0,0
5327,11,0,1,46,0.0,0.0,1,671,4,0,2,29,1,0,60,9,9,2,1,False,True,False,False,28800.0,0,0,0,1,0,0,1,0,1,0,0
11284,8,0,0,86,0.0,0.0,1,700,4,0,2,23,23,30,54,8,8,3,1,False,False,False,False,12600.0,0,0,0,1,0,0,1,1,0,0,0
775,11,1,0,48,0.0,0.0,1,699,3,0,2,11,2,0,42,6,6,5,1,False,False,False,False,18000.0,0,0,1,0,0,0,0,0,1,0,0
2134,5,0,1,17,0.0,0.0,0,398,1,0,2,22,10,0,53,8,8,2,1,False,False,False,False,18000.0,0,0,1,0,0,0,0,0,1,0,0
60635,5,1,1,68,12.0,13.0,0,132,3,0,2,27,4,30,58,9,9,0,1,False,False,False,False,9000.0,0,0,0,1,0,0,1,0,1,0,0
6540,6,1,0,59,18.0,13.0,1,823,3,0,10,18,23,30,292,42,42,3,4,False,False,False,False,18000.0,0,0,1,0,0,0,0,0,1,0,0
7212,8,0,1,58,0.0,14.0,0,129,3,0,4,7,0,0,98,14,14,5,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
2547,0,0,1,44,0.0,0.0,1,332,3,0,2,13,4,30,44,7,7,0,1,False,False,False,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
5537,5,0,1,37,19.0,12.0,1,89,3,0,2,29,6,0,60,9,9,2,1,False,True,False,False,16200.000000000002,0,0,0,1,0,0,0,1,0,0,0
1226,8,1,0,43,0.0,0.0,1,0,3,0,6,29,7,0,181,26,26,4,2,False,False,False,False,21600.0,0,0,0,1,0,0,0,1,0,0,0
911,5,0,1,62,0.0,0.0,1,99,3,0,3,28,17,0,88,13,13,2,1,False,False,False,False,1800.0,0,1,0,0,0,0,0,1,0,0,0
3827,11,0,1,46,0.0,0.0,1,480,3,0,3,6,5,30,66,10,10,1,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
181,0,0,1,39,0.0,0.0,1,440,4,0,3,14,17,30,74,11,11,2,1,False,False,False,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
8622,11,0,1,93,0.0,0.0,1,65,3,0,5,22,23,30,143,21,21,1,2,False,False,False,False,27000.0,0,1,0,0,0,0,0,0,1,0,0
9690,11,0,1,19,0.0,15.0,1,594,4,0,4,6,0,0,97,14,14,4,2,False,False,False,False,28800.0,0,1,0,0,0,0,0,1,0,0,0
2220,8,0,1,39,17.0,0.0,1,454,3,0,11,11,5,0,316,45,45,6,4,False,False,False,False,21177000.0,0,0,1,0,0,0,0,0,1,0,0
4305,0,0,1,27,0.0,0.0,1,154,3,0,3,12,20,0,72,11,11,0,1,False,False,False,False,5400.0,0,1,0,0,0,0,0,1,0,0,0
7526,11,0,1,52,0.0,0.0,1,519,3,0,4,24,20,0,115,17,17,1,2,False,False,False,False,14400.0,0,0,1,0,0,0,0,0,1,0,0
3286,6,0,1,51,0.0,0.0,1,0,3,0,3,26,4,0,86,13,13,0,1,False,False,False,False,9000.0,0,1,0,0,0,0,0,0,1,0,0
37,12,0,1,11,0.0,0.0,1,121,3,0,7,27,6,0,209,30,30,4,3,False,False,False,False,12600.0,0,1,0,0,0,0,0,1,0,0,0
1492,11,0,1,51,22.0,0.0,1,737,3,0,3,8,3,0,67,10,10,4,1,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
4502,8,0,0,88,12.0,14.0,1,377,3,0,4,1,16,0,92,13,13,6,2,True,False,True,False,5400.0,0,0,1,0,0,0,1,0,1,0,0
9753,11,0,1,24,0.0,0.0,1,0,3,0,5,31,22,0,152,22,22,3,2,False,True,False,False,14400.0,0,0,0,1,1,0,0,0,1,0,0
1045,0,0,1,43,0.0,0.0,1,0,1,1,3,17,3,0,77,11,11,5,1,False,False,False,False,178200.0,1,1,0,0,0,0,0,1,0,0,0
145,8,0,1,32,0.0,0.0,0,919,3,0,3,26,23,0,86,13,13,0,1,False,False,False,False,10800.0,0,0,0,1,0,0,0,1,0,0,0
108,6,0,1,30,0.0,0.0,0,306,3,1,3,12,6,55,72,11,11,0,1,False,False,False,False,6900.0,0,1,0,0,0,0,0,1,0,0,0
1529,11,0,1,48,0.0,0.0,1,0,1,1,3,17,6,0,77,11,11,5,1,False,False,False,False,10800.0,0,1,0,0,1,0,0,1,0,0,0
7782,11,0,1,31,0.0,0.0,1,429,4,0,4,23,23,0,114,17,17,0,2,False,False,False,False,27000.0,0,1,0,0,0,0,0,0,1,0,0
2430,8,0,1,38,0.0,0.0,1,223,3,0,5,15,23,0,136,20,20,1,2,False,False,False,False,5097600.0,0,1,0,0,0,0,0,1,0,0,0
175,5,0,0,42,0.0,0.0,1,840,3,0,5,24,11,0,145,21,21,3,2,False,False,False,False,21600.0,0,0,1,0,0,0,0,0,1,0,0
11885,11,0,1,68,8.0,0.0,1,1455,3,0,6,8,2,0,160,23,23,4,2,False,False,False,False,120600.00000000001,0,1,0,0,0,0,1,0,1,0,0
2375,11,0,1,27,0.0,0.0,1,23,4,0,3,29,21,0,89,13,13,3,1,False,False,False,False,18000.0,0,1,0,0,0,0,0,1,0,0,0
3366,8,0,0,47,34.0,13.0,1,150,3,0,9,26,4,0,270,39,39,2,3,False,False,False,False,9000.0,0,0,0,1,0,0,0,1,0,0,0
7941,0,0,1,41,14.0,14.0,1,301,3,0,5,22,19,15,143,21,21,1,2,False,False,False,False,9000.0,0,1,0,0,0,0,0,0,1,0,0
21743,5,0,1,70,0.0,0.0,1,673,1,0,4,23,20,30,114,17,17,0,2,False,False,False,False,7200.0,0,1,0,0,0,0,0,1,0,0,0
108,6,0,1,31,0.0,0.0,0,328,3,1,4,4,6,0,95,14,14,2,2,False,False,False,False,3600.0,0,1,0,0,0,0,0,1,0,0,0
672,6,0,1,38,0.0,0.0,1,75,3,0,8,1,20,0,214,31,31,2,3,True,False,False,False,360000.0,0,0,0,1,0,0,0,0,1,0,0
792,4,0,0,22,0.0,0.0,1,706,4,0,5,21,3,30,142,21,21,0,2,False,False,False,False,7200.0,0,1,0,0,0,0,1,1,0,0,0
3935,10,0,1,68,0.0,0.0,1,35,3,0,7,1,2,30,183,26,26,6,3,True,False,True,False,25200.0,0,0,0,1,0,0,1,0,1,0,0
331,13,0,1,30,0.0,0.0,1,0,1,1,4,20,0,0,111,16,16,4,2,False,False,False,False,122400.00000000001,1,0,0,1,0,0,0,1,0,0,0
13593,8,1,1,78,0.0,0.0,1,586,3,0,10,20,2,30,294,42,42,5,4,False,False,False,False,34200.0,0,1,0,0,0,0,0,1,0,0,0
8301,5,0,1,57,24.0,14.0,1,77,3,0,5,4,9,0,125,18,18,4,2,False,False,False,False,11700.0,0,0,0,1,0,0,0,1,0,0,0
2302,8,0,1,39,7.0,8.0,1,1,3,0,5,22,4,0,143,21,21,1,2,False,False,False,False,7200.0,0,0,0,1,0,0,0,1,0,0,0
803,11,0,1,86,0.0,0.0,1,574,3,0,6,19,2,30,171,25,25,1,2,False,False,False,False,19800.0,0,0,1,0,0,0,0,0,1,0,0
1946,5,0,0,36,0.0,0.0,1,0,1,1,4,30,14,30,121,18,18,0,2,False,True,False,False,5400.0,0,0,0,1,0,0,0,1,0,0,0
116,5,1,1,27,0.0,0.0,1,812,4,0,5,17,0,0,137,20,20,4,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
5565,11,1,1,65,5.0,5.0,1,1502,4,0,9,12,21,30,255,37,37,3,3,False,False,False,False,25200.0,0,1,0,0,0,0,0,0,1,0,0
924,8,0,1,21,40.0,11.0,1,394,3,0,12,29,0,0,364,52,52,5,4,False,False,False,False,23927400.0,0,1,0,0,0,0,0,1,0,0,0
3859,5,1,1,74,43.0,14.0,1,25,3,0,6,19,3,30,171,25,25,1,2,False,False,False,False,5400.0,0,0,1,0,0,0,1,1,0,0,0
9024,0,0,0,22,18.0,16.0,1,1039,4,0,5,13,0,0,134,19,19,6,2,False,False,False,False,878400.0,0,0,0,1,0,0,0,1,0,0,0
8467,0,0,1,56,14.0,14.0,1,345,3,0,5,21,19,0,142,21,21,0,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,0,1,0,0
210,6,0,0,40,0.0,0.0,0,416,3,0,5,29,6,0,150,22,22,1,2,False,False,False,False,2700.0,0,1,0,0,1,0,0,1,0,0,0
4741,6,0,1,38,0.0,0.0,1,611,3,0,5,29,4,30,150,22,22,1,2,False,False,False,False,14400.0,0,1,0,0,0,0,0,1,0,0,0
540,4,0,1,21,0.0,0.0,1,259,1,0,10,8,3,0,282,41,41,0,4,False,False,False,False,9000.0,0,1,0,0,1,0,0,1,0,0,0
19058,8,0,1,31,0.0,0.0,0,217,3,0,11,14,3,30,319,46,46,2,4,False,False,False,False,5700.0,0,1,0,0,0,0,0,0,1,0,0
19480,8,0,1,32,0.0,0.0,0,217,3,0,12,5,21,30,340,49,49,2,4,False,False,False,False,5700.0,0,1,0,0,0,0,0,0,1,0,0
39,5,0,0,42,0.0,0.0,1,0,1,1,5,22,23,0,143,21,21,1,2,False,False,False,False,10800.0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,1,17,0.0,0.0,0,650,4,0,8,3,23,0,216,31,31,4,3,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
2591,11,0,0,45,0.0,0.0,1,366,3,0,10,9,0,0,283,41,41,1,4,False,False,False,False,115200.0,0,0,1,0,0,0,0,0,1,0,0
4677,8,0,1,21,0.0,12.0,1,278,3,0,6,26,19,0,178,26,26,1,2,False,False,False,False,7200.0,0,0,0,1,0,0,0,0,1,0,0
536,11,0,1,17,14.0,14.0,1,287,3,0,12,6,5,0,341,49,49,3,4,False,False,False,False,10800.0,0,0,0,1,0,0,1,0,1,0,0
8888,8,1,1,43,0.0,0.0,1,0,3,0,9,21,22,0,265,38,38,4,3,False,False,False,False,162000.0,0,0,0,1,0,0,0,0,1,0,0
1801,6,0,1,30,15.0,0.0,1,55,3,0,8,6,16,15,219,32,32,0,3,False,False,False,False,1385100.0,0,1,0,0,1,0,0,0,1,0,0
4150,0,1,1,35,11.0,12.0,1,89,3,0,6,7,23,0,159,23,23,3,2,False,False,False,False,10800.0,0,1,0,0,0,0,0,1,0,0,0
978,5,1,0,74,8.0,12.0,1,503,3,0,7,13,7,0,195,28,28,4,3,False,False,False,False,10800.0,0,0,0,1,0,0,0,1,0,0,0
